product_id,product_name,category,brand,price
1,Product_1,Clothing,BrandY,3835.08
2,Product_2,Sports,BrandX,5190.44
3,Product_3,Home,BrandX,5331.74
4,Product_4,Home,BrandZ,4332.77
5,Product_5,Clothing,BrandY,3406.53
6,Product_6,Electronics,BrandY,392.51
7,Product_7,Electronics,BrandZ,5766.96
8,Product_8,Clothing,BrandX,5710.56
9,Product_9,Grocery,BrandX,3351.76
10,Product_10,Home,BrandY,2324.11
11,Product_11,Clothing,BrandX,2357.33
12,Product_12,Clothing,BrandY,1668.54
13,Product_13,Home,BrandX,4299.47
14,Product_14,Clothing,BrandZ,2304.78
15,Product_15,Home,BrandZ,880.16
16,Product_16,Electronics,BrandZ,2128.16
17,Product_17,Home,BrandY,3794.7
18,Product_18,Clothing,BrandY,4743.17
19,Product_19,Electronics,BrandY,2504.8
20,Product_20,Home,BrandY,2815.57
21,Product_21,Clothing,BrandY,3584.87
22,Product_22,Sports,BrandX,1558.13
23,Product_23,Home,BrandY,3684.17
24,Product_24,Home,BrandX,1597.36
25,Product_25,Sports,BrandZ,3990.83
26,Product_26,Electronics,BrandX,4889.74
27,Product_27,Clothing,BrandX,2091.5
28,Product_28,Sports,BrandX,5494.38
29,Product_29,Grocery,BrandX,5891.7
30,Product_30,Clothing,BrandY,3738.45
31,Product_31,Grocery,BrandY,479.03
32,Product_32,Sports,BrandX,2763.91
33,Product_33,Clothing,BrandZ,2520.19
34,Product_34,Sports,BrandY,3181.03
35,Product_35,Electronics,BrandZ,1305.48
36,Product_36,Electronics,BrandX,5275.21
37,Product_37,Home,BrandY,859.77
38,Product_38,Home,BrandY,3279.54
39,Product_39,Electronics,BrandZ,4871.16
40,Product_40,Electronics,BrandX,1377.47
41,Product_41,Home,BrandZ,1834.32
42,Product_42,Clothing,BrandX,4145.38
43,Product_43,Electronics,BrandZ,2621.19
44,Product_44,Home,BrandZ,3886.95
45,Product_45,Electronics,BrandY,2127.41
46,Product_46,Sports,BrandX,5585.15
47,Product_47,Sports,BrandY,5631.69
48,Product_48,Clothing,BrandX,1350.95
49,Product_49,Electronics,BrandZ,3573.03
50,Product_50,Home,BrandY,4117.26
51,Product_51,Clothing,BrandX,708.42
52,Product_52,Clothing,BrandZ,2457.19
53,Product_53,Clothing,BrandX,5566.05
54,Product_54,Sports,BrandX,3951.44
55,Product_55,Home,BrandY,3423.96
56,Product_56,Electronics,BrandY,4940.93
57,Product_57,Grocery,BrandX,1994.24
58,Product_58,Electronics,BrandX,4551.65
59,Product_59,Sports,BrandX,1510.87
60,Product_60,Electronics,BrandX,2860.69
61,Product_61,Sports,BrandY,5606.67
62,Product_62,Home,BrandZ,1343.99
63,Product_63,Electronics,BrandX,4634.87
64,Product_64,Sports,BrandX,1602.61
65,Product_65,Electronics,BrandX,4192.37
66,Product_66,Grocery,BrandY,2793.25
67,Product_67,Grocery,BrandZ,2015.87
68,Product_68,Home,BrandZ,694.95
69,Product_69,Grocery,BrandY,3843.97
70,Product_70,Sports,BrandZ,2737.97
71,Product_71,Electronics,BrandZ,102.55
72,Product_72,Sports,BrandX,791.91
73,Product_73,Sports,BrandZ,1725.96
74,Product_74,Electronics,BrandZ,2679.97
75,Product_75,Home,BrandY,862.07
76,Product_76,Sports,BrandZ,2586.11
77,Product_77,Sports,BrandZ,2350.73
78,Product_78,Electronics,BrandX,4770.63
79,Product_79,Grocery,BrandY,4885.01
80,Product_80,Grocery,BrandX,2907.38
81,Product_81,Grocery,BrandY,3189.12
82,Product_82,Home,BrandX,1030.99
83,Product_83,Grocery,BrandY,1286.31
84,Product_84,Home,BrandX,3613.08
85,Product_85,Clothing,BrandY,3873.59
86,Product_86,Clothing,BrandZ,2768.79
87,Product_87,Sports,BrandY,906.48
88,Product_88,Grocery,BrandY,2631.24
89,Product_89,Grocery,BrandY,4511.67
90,Product_90,Electronics,BrandX,4563.61
91,Product_91,Home,BrandY,1535.83
92,Product_92,Electronics,BrandX,3007.08
93,Product_93,Grocery,BrandZ,1149.71
94,Product_94,Clothing,BrandZ,856.02
95,Product_95,Grocery,BrandY,2371.92
96,Product_96,Electronics,BrandZ,4371.2
97,Product_97,Grocery,BrandY,3587.99
98,Product_98,Sports,BrandZ,1910.52
99,Product_99,Grocery,BrandZ,5304.04
100,Product_100,Sports,BrandX,5472.99
