customer_id,customer_name,age,city,membership
1,Customer_1,48,Mumbai,Silver
2,Customer_2,43,Mumbai,Gold
3,Customer_3,45,Bangalore,Silver
4,Customer_4,45,Chennai,None
5,Customer_5,54,Hyd,Silver
6,Customer_6,41,Bangalore,Gold
7,Customer_7,26,Mumbai,None
8,Customer_8,43,Hyd,Silver
9,Customer_9,32,Mumbai,None
10,Customer_10,37,Bangalore,Silver
11,Customer_11,33,Bangalore,Gold
12,Customer_12,28,Hyd,Gold
13,Customer_13,31,Bangalore,None
14,Customer_14,53,Mumbai,Gold
15,Customer_15,59,Hyd,Gold
16,Customer_16,42,Chennai,None
17,Customer_17,41,Bangalore,None
18,Customer_18,64,Hyd,None
19,Customer_19,33,Chennai,Gold
20,Customer_20,41,Hyd,None
21,Customer_21,39,Hyd,Silver
22,Customer_22,21,Mumbai,Gold
23,Customer_23,59,Chennai,Silver
24,Customer_24,41,Hyd,None
25,Customer_25,31,Delhi,None
26,Customer_26,57,Hyd,None
27,Customer_27,47,Mumbai,None
28,Customer_28,63,Chennai,None
29,Customer_29,48,Mumbai,Silver
30,Customer_30,36,Bangalore,None
31,Customer_31,46,Delhi,None
32,Customer_32,53,Bangalore,Gold
33,Customer_33,19,Delhi,Gold
34,Customer_34,63,Delhi,None
35,Customer_35,64,Delhi,Gold
36,Customer_36,60,Mumbai,Gold
37,Customer_37,55,Chennai,Silver
38,Customer_38,59,Hyd,Silver
39,Customer_39,43,Chennai,Gold
40,Customer_40,50,Chennai,Silver
41,Customer_41,44,Bangalore,Gold
42,Customer_42,55,Delhi,None
43,Customer_43,38,Mumbai,Silver
44,Customer_44,45,Delhi,Gold
45,Customer_45,52,Chennai,Gold
46,Customer_46,47,Bangalore,Gold
47,Customer_47,32,Chennai,None
48,Customer_48,46,Bangalore,Silver
49,Customer_49,47,Delhi,None
50,Customer_50,56,Delhi,Gold
51,Customer_51,20,Hyd,Gold
52,Customer_52,60,Chennai,None
53,Customer_53,37,Mumbai,Silver
54,Customer_54,27,Mumbai,None
55,Customer_55,22,Hyd,Silver
56,Customer_56,63,Mumbai,Silver
57,Customer_57,51,Hyd,Gold
58,Customer_58,60,Chennai,None
59,Customer_59,38,Bangalore,None
60,Customer_60,28,Mumbai,None
61,Customer_61,25,Delhi,Silver
62,Customer_62,47,Chennai,Silver
63,Customer_63,41,Mumbai,None
64,Customer_64,30,Mumbai,Gold
65,Customer_65,36,Bangalore,Gold
66,Customer_66,19,Chennai,Gold
67,Customer_67,56,Delhi,Gold
68,Customer_68,59,Delhi,Silver
69,Customer_69,22,Delhi,None
70,Customer_70,37,Hyd,Gold
71,Customer_71,40,Bangalore,None
72,Customer_72,48,Hyd,None
73,Customer_73,59,Chennai,Silver
74,Customer_74,45,Bangalore,None
75,Customer_75,37,Bangalore,None
76,Customer_76,57,Hyd,Gold
77,Customer_77,53,Bangalore,Silver
78,Customer_78,19,Mumbai,None
79,Customer_79,61,Chennai,Silver
80,Customer_80,25,Hyd,Silver
81,Customer_81,26,Hyd,Silver
82,Customer_82,25,Bangalore,Silver
83,Customer_83,44,Chennai,None
84,Customer_84,41,Mumbai,Silver
85,Customer_85,59,Bangalore,None
86,Customer_86,43,Delhi,None
87,Customer_87,32,Bangalore,None
88,Customer_88,42,Chennai,Silver
89,Customer_89,21,Hyd,Silver
90,Customer_90,54,Hyd,Gold
91,Customer_91,41,Mumbai,Gold
92,Customer_92,57,Chennai,Silver
93,Customer_93,24,Chennai,Gold
94,Customer_94,43,Bangalore,Gold
95,Customer_95,31,Hyd,None
96,Customer_96,57,Delhi,None
97,Customer_97,63,Delhi,None
98,Customer_98,58,Mumbai,None
99,Customer_99,47,Hyd,Gold
100,Customer_100,19,Mumbai,Gold
101,Customer_101,60,Delhi,None
102,Customer_102,50,Chennai,Silver
103,Customer_103,46,Bangalore,None
104,Customer_104,54,Chennai,Gold
105,Customer_105,44,Chennai,Gold
106,Customer_106,58,Chennai,None
107,Customer_107,41,Chennai,None
108,Customer_108,30,Chennai,Gold
109,Customer_109,60,Bangalore,Gold
110,Customer_110,46,Bangalore,Gold
111,Customer_111,56,Mumbai,None
112,Customer_112,42,Delhi,None
113,Customer_113,63,Chennai,None
114,Customer_114,43,Mumbai,None
115,Customer_115,18,Bangalore,Silver
116,Customer_116,64,Mumbai,Silver
117,Customer_117,35,Delhi,Gold
118,Customer_118,54,Chennai,None
119,Customer_119,26,Mumbai,Silver
120,Customer_120,63,Hyd,Gold
121,Customer_121,60,Chennai,Silver
122,Customer_122,35,Hyd,Silver
123,Customer_123,42,Hyd,Gold
124,Customer_124,25,Bangalore,None
125,Customer_125,34,Mumbai,Silver
126,Customer_126,31,Delhi,Silver
127,Customer_127,35,Chennai,None
128,Customer_128,61,Chennai,Silver
129,Customer_129,49,Chennai,None
130,Customer_130,55,Mumbai,None
131,Customer_131,41,Chennai,Silver
132,Customer_132,57,Bangalore,Gold
133,Customer_133,60,Delhi,Gold
134,Customer_134,26,Mumbai,Gold
135,Customer_135,54,Mumbai,Silver
136,Customer_136,39,Chennai,None
137,Customer_137,60,Chennai,Silver
138,Customer_138,50,Bangalore,Silver
139,Customer_139,35,Chennai,None
140,Customer_140,60,Bangalore,Gold
141,Customer_141,60,Chennai,None
142,Customer_142,24,Mumbai,Gold
143,Customer_143,54,Mumbai,None
144,Customer_144,20,Bangalore,Silver
145,Customer_145,37,Hyd,Gold
146,Customer_146,46,Hyd,None
147,Customer_147,41,Mumbai,None
148,Customer_148,48,Hyd,Gold
149,Customer_149,43,Delhi,Gold
150,Customer_150,32,Hyd,Gold
